RFID,Retail_CycleCountDate,Retail_CycleCountDate_ts,Retail_Disposition,Retail_Product_Color,Retail_Product_ImageURL,Retail_Product_Level1,Retail_Product_Level1Name,Retail_Product_Level2,Retail_Product_Level2Name,Retail_Product_Level3,Retail_Product_Level3Name,Retail_Product_Name,Retail_Product_SKU,Retail_Product_Size,Retail_Product_Style,Retail_Product_UOM,Retail_Product_UPC,Retail_StoreNumber,Retail_ZoneName,Retail_ZoneType,shardId,viz_groupCode,viz_groupId,viz_id,viz_serialNumber,viz_source,viz_thingTypeCode,viz_time
3035E2274445CB04A8180CB9,2022-08-16 12:38:41.571,1660653521571,SELLABLE_ACCESSIBLE,NA,,W,BELEZA,,WA,WAE,WAE,COLONIA DESODORANTE MASCULINA LUCCO  25,8686770000,NA,PERFUME,,07899601714682,233,233_SALESFLOOR,SALESFLOOR,23,,23,23.356.11081549477316999,3035E2274445CB04A8180CB9,MOBILE,ITEM,2022-08-16 12:38:41.571
303405ABE41D56C28FA6AF3A,2022-08-16 12:38:41.571,1660653521571,SELLABLE_ACCESSIBLE,AZUL,,C,VESTUARIO,,CV,CVA,CVA,BLUSA MANGA CURTA  PRD LOVE TREND BATINH,9292130004,40,TOP PLANO,,00092921300437,233,233_SALESFLOOR,SALESFLOOR,23,,23,23.356.13366189115700417,303405ABE41D56C28FA6AF3A,MOBILE,ITEM,2022-08-16 12:38:41.571
303405E9A41D5544A817C952,2022-08-16 12:38:41.571,1660653521571,SELLABLE_ACCESSIBLE,BEGE,,C,VESTUARIO,,CH,CHG,CHG,CHINELO  CH SLO MARCA DE TERCEIROS IPANE,9687330003,39/40,CHINELO FEM,,00096873300378,233,233_SALESFLOOR,SALESFLOOR,23,,23,23.356.13934259339816903,303405E9A41D5544A817C952,MOBILE,ITEM,2022-08-16 12:38:41.571
303405DAA81D51828FA6B1A3,2022-08-16 12:38:41.571,1660653521571,SELLABLE_ACCESSIBLE,ROXO,,C,VESTUARIO,,CT,CTA,CTA,BLUSA SEM MANGA CF PRD EVT LANCAMENTO CO,9591430002,GG,BLUSA MALHA,,00095914300223,233,233_SALESFLOOR,SALESFLOOR,23,,23,23.356.14039887372121246,303405DAA81D51828FA6B1A3,MOBILE,ITEM,2022-08-16 12:38:41.571
303405C4283A9A428FA6AE78,2022-08-16 12:38:41.571,1660653521571,SELLABLE_ACCESSIBLE,NA,,B,LAR- TEXTIL,,BM,BMC,BMC,EDREDOM KING 260X280 TWILL CLARICE PNB C,9447460000,NA,EDREDOM TWIL,,00094474600095,233,233_SALESFLOOR,SALESFLOOR,23,,23,23.356.13383172685914884,303405C4283A9A428FA6AE78,MOBILE,ITEM,2022-08-16 12:38:41.571
303405BD6C0017428FA6B124,2022-08-16 12:38:41.571,1660653521571,SELLABLE_ACCESSIBLE,LARANJA,,C,VESTUARIO,,CZ,CZC,CZC,BLUSA MANGA CURTA CZ MSA MESA VIVA PLUS,9404300009,50,MASSIFICADOS,,00094043000936,233,233_SALESFLOOR,SALESFLOOR,23,,23,23.356.13251814773809663,303405BD6C0017428FA6B124,MOBILE,ITEM,2022-08-16 12:38:41.571
303405E5602715028FA6AF36,2022-08-16 12:38:41.571,1660653521571,SELLABLE_ACCESSIBLE,JEANS,,C,VESTUARIO,,CY,CYA,CYA,CALCA   SAW MARCA DE TERCEIROS CALCA BOO,9660040002,36,CALÇA JEANS,,00096600400203,233,233_SALESFLOOR,SALESFLOOR,23,,23,23.356.13804561784721633,303405E5602715028FA6AF36,MOBILE,ITEM,2022-08-16 12:38:41.571
303405C968000A028FA6B089,2022-08-16 12:38:41.571,1660653521571,SELLABLE_ACCESSIBLE,JEANS,,C,VESTUARIO,,CY,CYC,CYC,MACAQUINHO SEM MANGA JEANS PS PRD INK CO,9481000004,52,INTEIRO PLUS,,00094810000404,233,233_SALESFLOOR,SALESFLOOR,23,,23,23.356.13933204730101511,303405C968000A028FA6B089,MOBILE,ITEM,2022-08-16 12:38:41.571
303405D0683AA4428FA6AF61,2022-08-16 12:38:41.571,1660653521571,SELLABLE_ACCESSIBLE,VINHO,,C,VESTUARIO,,CS,CSA,CSA,BLUSA SEM MANGA CDD PRD VIVA CIDADE REGA,9525860004,M,BLUSA MALHA,,00095258600492,233,233_SALESFLOOR,SALESFLOOR,23,,23,23.356.14104499796608431,303405D0683AA4428FA6AF61,MOBILE,ITEM,2022-08-16 12:38:41.571
303405E6CC1392828FA6AE0C,2022-08-16 12:38:41.571,1660653521571,SELLABLE_ACCESSIBLE,PRETO,,C,VESTUARIO,,CH,CHA,CHA,RASTEIRA  CH SLO BEIRA RIO NAPA TURIM 54,9669120004,37,RASTEIRA,,00096691200423,233,233_SALESFLOOR,SALESFLOOR,23,,23,23.356.13897411701313467,303405E6CC1392828FA6AE0C,MOBILE,ITEM,2022-08-16 12:38:41.571
