Retail_Clearance,Retail_InTransitQTY,Retail_Product_Color,Retail_Product_Dimension,Retail_Product_ExternalSKU,Retail_Product_ImageURL,Retail_Product_Level1,Retail_Product_Level1Name,Retail_Product_Level2,Retail_Product_Level2Name,Retail_Product_Level3,Retail_Product_Level3Name,Retail_Product_Level4,Retail_Product_Level4Name,Retail_Product_Level5,Retail_Product_Level5Name,Retail_Product_Manufacturer,Retail_Product_Name,Retail_Product_RFIDTagged,Retail_Product_SKU,Retail_Product_Size,Retail_Product_Style,Retail_Product_UOM,Retail_Product_UPC,Retail_Product_UPCs,Retail_SFMax,Retail_SFMin,Retail_SOHDate,Retail_SOHQTY,Retail_SOHQTY_SF,Retail_SOHQTY_SR,Retail_StoreInProcess,Retail_StoreNumber,serial,thingTypeId
false,0,JEANS,NaVal,NaVal,NaVal,C,VESTUARIO,NaVal,CY,NaVal,CYA,NaVal,CYAA,JEANS,CYAAQ,NaVal,CALCA JEANS CRN MSA INK RECORTES  LISO C,NaVal,9588600006,46,CALÇA JEANS,NaVal,00095886000619,00095886000619,0,0,2022-08-16 07:00:36.468,1,1,0,0,233,233_009588600006,384
false,0,NA,NaVal,NaVal,NaVal,W,BELEZA,NaVal,WB,NaVal,WBN,NaVal,WBNS,SPLASH 20ML,WBNSB,NaVal,DESODORANTE COLONIA SPLASH JEQUITI EU DE,NaVal,9655180000,NA,SPRAY/ COLÔNIA,NaVal,07899952315415,07899952315415,0,0,2022-08-16 07:00:36.468,3,3,0,0,233,233_009655180000,384
false,0,JEANS,NaVal,NaVal,NaVal,C,VESTUARIO,NaVal,CM,CMA,CMA,CMAAD,CMAA,CM,CMAAD,NaVal,CALCA CM MSA INK SLIM LAVAGEM COM USED B,NaVal,9440900003,40,CALÇA JEANS,NaVal,00094409000389,00094409000389,0,0,2022-08-16 07:00:36.468,1,1,0,0,233,233_009440900003,384
false,0,PRETO,NaVal,NaVal,NaVal,C,VESTUARIO,NaVal,CP,CPM,CPM,CPMGF,CPMG,ACC,CPMGF,NaVal,3 PARES MEIA INVISIVEL ACC SLO PRETAS LI,NaVal,9429890001,34/39,MEIA CASUAL/ESPORTIVA,NaVal,00094298900135,00094298900135,0,0,2022-08-16 07:00:36.468,4,4,0,0,233,233_009429890001,384
false,0,JEANS,NaVal,NaVal,NaVal,C,VESTUARIO,NaVal,CY,CYA,CYA,CYAAS,CYAA,JEANS,CYAAS,NaVal,CALCA JEANS CRN MSA INK SKY USED TANK BA,NaVal,9479800002,38,CALÇA JEANS,NaVal,00094798000267,00094798000267,0,0,2022-08-16 07:00:36.468,1,1,0,0,233,233_009479800002,384
false,0,NA,NaVal,NaVal,NaVal,H,ELETRO-ELETRONICOS,NaVal,HZ,HZB,HZB,HZBLB,HZBL,LRG4668L KZ97P1KX,HZBLB,NaVal,RELOGIO LINCE FEMININO DOURADO P4 C PULS,NaVal,9216280000,NA,KIT FEMININO DOURADO,NaVal,00092162800055,00092162800055,0,0,2022-08-16 07:00:36.468,1,1,0,0,233,233_009216280000,384
false,0,NA,NaVal,NaVal,NaVal,W,BELEZA,NaVal,WB,WBQ,WBQ,WBQBB,WBQB,JEQUITI SENS,WBQBB,NaVal,JEQUITI SENSI SABONETE HIDRATANTE EM BAR,NaVal,8687780000,NA,BARRA,NaVal,00086877800004,00086877800004|07899952304273,0,0,2022-08-16 07:00:36.468,3,3,0,0,233,233_008687780000,384
false,0,VERDE,NaVal,NaVal,NaVal,C,VESTUARIO,NaVal,CY,CYA,CYA,CYABC,CYAB,SARJA,CYABC,NaVal,CALCA SARJA CRN MSA INK PUSH UP BOLSO SE,NaVal,9415770003,42,CALÇA SARJA,NaVal,00094157700371,00094157700371,0,0,2022-08-16 07:00:36.468,4,4,0,0,233,233_009415770003,384
false,0,CINZA,NaVal,NaVal,NaVal,C,VESTUARIO,NaVal,C5,C5A,C5A,C5ABA,C5AB,OCULOS METAL GATINHO,C5ABA,NaVal,OCULOS MET FEM GUN GATINHO FUME DEGRADE,NaVal,9463910001,UNICO,ÓCULOS METAL,NaVal,00094639100132,00094639100132,0,0,2022-08-16 07:00:36.468,1,1,0,0,233,233_009463910001,384
false,0,PRETO,NaVal,NaVal,NaVal,C,VESTUARIO,NaVal,CJ,CJA,CJA,CJABP,CJAB,CJ,CJABP,NaVal,CALCINHA  BIQUINI CJ MSA ELLA BICOLOR LI,NaVal,9424790002,M,CALCINHA / BOTTOM,NaVal,00094247900292,00094247900292,0,0,2022-08-16 07:00:36.468,3,3,0,0,233,233_009424790002,384
